n_episode :4400, score : 449.8, n_buffer : 50000, eps : 1.0%
n_episode :4420, score : 317.9, n_buffer : 50000, eps : 1.0%
n_episode :4440, score : 383.6, n_buffer : 50000, eps : 1.0%
n_episode :4460, score : 444.1, n_buffer : 50000, eps : 1.0%
n_episode :4480, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :4500, score : 496.8, n_buffer : 50000, eps : 1.0%
n_episode :4520, score : 488.2, n_buffer : 50000, eps : 1.0%
n_episode :4540, score : 451.0, n_buffer : 50000, eps : 1.0%
n_episode :4560, score : 471.9, n_buffer : 50000, eps : 1.0%
n_episode :4580, score : 494.1, n_buffer : 50000, eps : 1.0%
n_episode :4600, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :4620, score : 198.7, n_buffer : 50000, eps : 1.0%
n_episode :4640, score : 372.1, n_buffer : 50000, eps : 1.0%
n_episode :4660, score : 445.9, n_buffer : 50000, eps : 1.0%
n_episode :4680, score : 418.6, n_buffer : 50000, eps : 1.0%
n_episode :4700, score : 479.1, n_buffer : 50000, eps : 1.0%
n_episode :4720, score : 490.8, n_buffer : 50000, eps : 1.0%
n_episode :4740, score : 431.2, n_buffer : 50000, eps : 1.0%
n_episode :4760, score : 351.9, n_buffer : 50000, eps : 1.0%
n_episode :4780, score : 452.4, n_buffer : 50000, eps : 1.0%
n_episode :4800, score : 471.4, n_buffer : 50000, eps : 1.0%
n_episode :4820, score : 471.2, n_buffer : 50000, eps : 1.0%
n_episode :4840, score : 481.1, n_buffer : 50000, eps : 1.0%
n_episode :4860, score : 493.2, n_buffer : 50000, eps : 1.0%
n_episode :4880, score : 481.6, n_buffer : 50000, eps : 1.0%
n_episode :4900, score : 495.0, n_buffer : 50000, eps : 1.0%
n_episode :4920, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :4940, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :4960, score : 482.4, n_buffer : 50000, eps : 1.0%
n_episode :4980, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :5000, score : 470.8, n_buffer : 50000, eps : 1.0%
