n_episode : 5140, score : 147.7, n_buffer : 50000, eps : 1.0%
n_episode : 5160, score : 73.6, n_buffer : 50000, eps : 1.0%
n_episode : 5180, score : 83.4, n_buffer : 50000, eps : 1.0%
n_epin_episode : 4880, score : 25_bn_episode : 4900, score : 226.3, n_buffer : 50000, eps : 1.0bun_episode : 4920, score : 280.8, n_buffer : 50000, eps : 1.0ufn_episode : 4940, score : 108.5, n_buffer : 50000, eps : 1.0ufn_episode : 4960, score : 62.2, n_buffer : 50000, eps : 1.0%ufn_episode : 4980, score : 259.8, n_buffer : 50000, eps : 1.bun_episode : 5000, score : 325.2, n_buffer : 50000, eps : 1.0bun_episode : 5020, score : 365.9, n_buffer : 50000, eps : 1.0bun_episode : 5040, score : 298.5, n_buffer : 50000, eps : 1.0bun_episode : 5060, score : 284.8, n_buffer : 50000, eps : 1.0bun_episode : 5080, score : 219.8, n_buffer : 50000, eps : 1.0bun_episode : 5100, score : 155.8, n_buffer : 50000, eps : 1.0bun_episode : 5120, score : 145.0, n_buffer : 50000, eps : 1.0bun_episode : 5140, score : 147.7, n_buffer : 50000, eps : 1.0ufn_episode : 5160, score : 73.6, n_buffer : 50000, eps : 1.0%ufn_episode : 5180, score : 83.4, n_buffer : 50000, eps : 1.0ufn_epin_episode : 4880, score : 25_bn_episode : 4900, score uffer : 50000, eps : 1.0%
n_episode : 5540, score : 213.6, n_buffer : 50000, eps : 1.0%
n_episode : 5560, score : 310.9, n_buffer : 50000, eps : 1.0%
n_episode : 5580, score : 234.5, n_buffer : 50000, eps : 1.0%
n_episode : 5600, score : 162.8, n_buffer : 50000, eps : 1.0%
n_episode : 5620, score : 195.6, n_buffer : 50000, eps : 1.0%
n_episode : 5640, score : 133.2, n_buffer : 50000, eps : 1.0%
n_episode : 5660, score : 129.7, n_buffer : 50000, eps : 1.0%
n_episode : 5680, score : 133.3, n_buffer : 50000, eps : 1.0%
n_episode : 5700, score : 155.0, n_buffer : 50000, eps : 1.0%
n_episode : 5720, score : 183.9, n_buffer : 50000, eps : 1.0%
n_episode : 5740, score : 125.5, n_buffer : 50000, eps : 1.0%
n_episode : 5760, score : 65.2, n_buffer : 50000, eps : 1.0%
n_episode : 5780, score : 193.1, n_buffer : 50000, eps : 1.0%
n_episode : 5800, score : 106.3, n_buffer : 50000, eps : 1.0%
n_episode : 5820, score : 146.2, n_buffer : 50000, eps : 1.0%
n_episode : 5840, score : 109.6, n_buffer : 50000, eps : 1.0%
n_episoden_episode : 5540, scor, n_episode : 5560, score : 310.9, n_buffer : 50000, eps : 1.0 nn_episode : 5580, score : 234.5, n_buffer : 50000, eps : 1.0 nn_episode : 5600, score : 162.8, n_buffer : 50000, eps : 1.0 nn_episode : 5620, score : 195.6, n_buffer : 50000, eps : 1.0 nn_episode : 5640, score : 133.2, n_buffer : 50000, eps : 1.0 nn_episode : 5660, score : 129.7, n_buffer : 50000, eps : 1.0 nn_episode : 5680, score : 133.3, n_buffer : 50000, eps : 1.0 nn_episode : 5700, score : 155.0, n_buffer : 50000, eps : 1.0 nn_episode : 5720, score : 183.9, n_buffer : 50000, eps : 1.0 nn_episode : 5740, score : 125.5, n_buffer : 50000, eps : 1.0 nn_episode : 5760, score : 65.2, n_buffer : 50000, eps : 1.0% nn_episode : 5780, score : 193.1, n_buffer : 50000, eps : 1., n_episode : 5800, score : 106.3, n_buffer : 50000, eps : 1.0 nn_episode : 5820, score : 146.2, n_buffer : 50000, eps : 1.0 nn_episode : 5840, score : 109.6, n_buffer : 50000, eps : 1.0 nn_episoden_episode : 5540, scor, n_episode : 5560, score : 3 n_buffer : 50000, eps : 1.0%
n_episode : 6200, score : 191.8, n_buffer : 50000, eps : 1.0%
n_episode : 6220, score : 179.7, n_buffer : 50000, eps : 1.0%
n_episode : 6240, score : 222.8, n_buffer : 50000, eps : 1.0%
n_episode : 6260, score : 256.9, n_buffer : 50000, eps : 1.0%
n_episode : 6280, score : 180.6, n_buffer : 50000, eps : 1.0%
n_episode : 6300, score : 232.4, n_buffer : 50000, eps : 1.0%
n_episode : 6320, score : 247.2, n_buffer : 50000, eps : 1.0%
n_episode : 6340, score : 179.1, n_buffer : 50000, eps : 1.0%
n_episode : 6360, score : 219.1, n_buffer : 50000, eps : 1.0%
n_episode : 6380, score : 207.7, n_buffer : 50000, eps : 1.0%
n_episode : 6400, score : 133.4, n_buffer : 50000, eps : 1.0%
n_episode : 6420, score : 182.8, n_buffer : 50000, eps : 1.0%
n_episode : 6440, score : 192.8, n_buffer : 50000, eps : 1.0%
n_episode : 6460, score : 139.3, n_buffer : 50000, eps : 1.0%
n_episode : 6480, score : 241.7, n_buffer : 50000, eps : 1.0%
n_episode : 6500, score : 318.8, n_buffer : 50000, eps : 1.0%
